batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
64,0.0016076767412125,SGD,0.8173728486348157,1.2883474022178704e-05,14,0.2022222222222222,1.797244668006897,0.7991621067031464,0.6244444444444445,2.0562973022460938,719,180,181,720,0.2080382333899086
16,0.000969769377549,Adam,0.585112222764924,0.010078691057509,13,0.2355555555555555,1.147845983505249,0.7652939166097061,0.5333333333333333,1.1988312005996704,689,212,211,688,0.3813987994058566
64,0.002814229441594,Adam,0.6945201742933698,8.778072540509477e-05,42,0.1244444444444444,2.701286792755127,0.8749572941578408,0.7577777777777778,2.98278546333313,788,114,112,786,0.1124036884866654
32,0.000237036131611,Adam,0.7586219029412999,7.400709613076833e-05,15,0.0933333333333333,4.372083187103272,0.9060471472497438,0.8200000000000001,4.557137489318848,816,86,84,814,0.0108016017316417
64,0.0037527467238407,Adam,0.5941686784770701,0.0013929032208224,45,0.17,2.2180418968200684,0.8294328664161257,0.6655555555555556,2.298268318176269,747,155,153,745,0.150169193025001
64,0.0067290240214901,SGD,0.5299264859709162,0.0032333213469506,11,0.2077777777777777,1.8401728868484497,0.7936046511627907,0.6011111111111112,2.0589282512664795,714,185,186,715,0.2297394342268958
16,1.979413727973795e-05,SGD,0.7819450655588234,0.0060735594619701,14,0.3288888888888889,1.055375337600708,0.6717628971643321,0.3655555555555555,1.0855226516723633,605,297,295,603,0.8315573271476862
16,0.0016877731871369,SGD,0.618418068619377,0.0016223191433307,42,0.1866666666666666,2.040870428085327,0.8141660970608339,0.638888888888889,2.2256362438201904,733,168,167,732,0.1265833907280907
64,0.0038490731950374,SGD,0.5633914333235067,2.4030683822094387e-05,28,0.1633333333333333,2.2585911750793457,0.8374914559125085,0.6966666666666668,2.508005857467652,754,147,146,753,0.0910687385211614
32,1.6582319626643164e-05,Adam,0.8684081086906772,0.0002146600800541,35,0.1088888888888888,2.5425829887390137,0.8925273597811217,0.7966666666666666,2.7453315258026123,803,96,97,804,0.027975664756289
64,2.460617559389205e-05,SGD,0.8681108418250462,1.2890877432664822e-05,14,0.3511111111111111,1.1252251863479614,0.6491108071135431,0.3311111111111111,1.200227975845337,584,315,316,585,0.7799027819525112
64,0.000180636242215,Adam,0.7279082486381753,0.0064325111557278,25,0.1233333333333333,2.380900621414185,0.8763670539986329,0.76,2.470027208328247,789,112,111,788,0.0616064831388719
16,0.0010042829438528,Adam,0.5497149386063678,0.0016069221106062,36,0.1233333333333333,1.456884503364563,0.878077975376197,0.7622222222222222,1.520901441574097,790,109,110,791,0.166577203566152
32,0.0011271241201981,SGD,0.848053731948212,0.0004426708863813,18,0.1966666666666666,1.9347327947616573,0.8033333333333333,0.6355555555555557,2.1892313957214355,723,177,177,723,0.1870662996009218
64,0.0576573685459082,SGD,0.6038619532484016,0.0450580856819903,44,0.0,inf,0.7647058823529411,0.0,inf,900,900,0,0,1.0
32,0.0303319797171688,Adam,0.8398417221667132,0.0004481586206627,36,0.3488888888888889,1.5292930603027344,0.6508885850991114,0.311111111111111,1.7173489332199097,586,315,314,585,0.4766718000173569
16,0.0013444046813952365,Adam,0.5384986124816279,0.0005090548797121601,43,0.15444444444444444,1.9100089073181152,0.8472459801573725,0.7566666666666667,2.2795684337615967,762,136,138,764,0.1726587479792987
